identifier,coordinate
610ee029-6e78-4f47-b4c3-fb0f8da91f0c,472.81809
e7a6a7c6-6cc9-4a0d-887d-f14c16e2ef6c,473.55484
99b1d81b-8959-40ae-a590-43db6753cd78,474.29159
48f8a217-6806-455d-b04e-da83b03ebc59,475.02834
759bb126-2856-4f98-827d-ae3b07a5471b,475.76509
76df891e-cd17-46ed-9207-88f61a5fe38c,476.32150
0c8f4918-b1c7-4084-a7f7-95a82002a223,476.87791
00d1cebe-36d9-470b-ac1c-8d4f9a2073a9,477.43431
c56a3bf6-9b91-4123-a2dd-c374d0bf8105,477.99072
dbfba40e-a886-4ad5-9d7e-fa3dfd9e7155,478.54712
5b080dfe-057d-4949-a0ab-8942fe965bfe,479.10353
9ad2658c-d860-4ee8-aeff-90e6ce967be1,479.65994
272d0f08-02d1-4f00-a301-9c7080acac9b,480.21634
db38380e-d00f-441d-a88f-fd3d38e0bad6,480.77275
0158556e-6db0-44c7-ace9-96538c055ab8,481.32915
be62db66-0b8e-49cc-8481-34eb4e8fff39,481.88556
abe90174-5366-43f3-b5a0-df47e87b0c82,482.44196
508dbbb7-b5e7-4b9f-a576-f6c1087344df,482.99837
8a3bfb8e-1789-42f2-8ed8-c4d005d3ace0,483.75400
7623ca4a-d6c4-47c9-b8df-e28384f07fc5,484.50963
cbaefad5-8306-4d45-973a-db28265ef1eb,485.26526
3ba21889-3654-4b33-a27e-f4d4c235dbd4,486.02090
633388fb-433b-4e0c-bae4-79c99fea7649,486.77653
a45ef85d-6a50-49aa-b41e-075008f31b66,487.53216
142054e3-30c0-466c-a21d-5ce64a9185a6,488.28779
16d9d623-be7b-4712-8df0-687050087e02,489.04342
8030444b-1df2-4903-b3c2-c4cd6a38e279,489.79905
aa347b05-4cda-44a5-baf1-a6c88702c640,490.55468
a9c1908a-b7e9-405c-80e3-4e6c9d99b48a,491.31032
8216a100-9b92-4bab-996e-d6197f4845ac,492.06595
c069fdb0-d603-4aae-a39e-77d59bb3edd9,492.79899
b45d8a89-c9ed-43a0-a650-652b71d39724,493.53202
adbf4847-0f03-4236-8a80-e65e5c8a5257,494.26506
b92628f3-37ae-4b22-8d9f-66b1780a6dae,494.99810
ac2b148b-05be-4068-9419-b2ada0036280,495.73114
9e161459-22e3-4896-882a-cdce2eacdf61,496.46418
194474a1-0a36-4ac1-bba6-5e4b3901d1f8,497.19722
17615262-b09f-40f7-b1e4-9f3a8162a828,497.92483
34884389-9a71-45b5-84b3-3e6826fc147a,498.65244
defa8c28-7aec-44bf-b7ce-40f7fd9a3820,499.38005
25b5fe81-d8b3-469c-9689-dde8849b7569,500.10766
c3df9734-f9c5-4dd8-a7f4-e86cffd5f584,500.83527
6dca58a5-3a9f-4a6d-9699-df06ef09e024,501.56289
78f95056-3ba3-4fbd-b367-626d10d3c2f4,502.29050
304cdd93-75c4-47b9-b2c5-639b3f4be366,503.01811
1faac1ed-9219-49ef-a32b-183f3fd91dc2,503.74572
be684708-5811-4cb7-ab37-7337c550e6fb,504.51596
ac9d5c5b-b44e-4977-ba5b-56b0fa4e04a5,505.28619
0b406baf-723e-472f-8b00-4df2044c9fb4,506.05643
45808b72-9ffa-4723-9e7a-7a1e41e1fff6,506.82667
7a791d65-82c6-4215-b9d1-a47bc19b0732,507.59691
2bc366d9-b6ec-4315-b816-a803f2bc1ddd,508.36714
9e048edd-6b89-440b-b923-072ff57cae13,509.13738
e68f08b7-5f24-4903-87e8-d8c677c9066b,509.90762
c1462347-e821-421f-88b9-61e88fd1d4eb,510.65425
5340fc53-4c00-46a0-9e65-8ff11597e675,511.40089
adff1318-b349-4833-a69e-23400148a525,512.14753
7fe2f93b-2bc0-4d50-a3b1-6273669e1498,512.89417
563a9ff5-530d-4301-86b7-3a904f75693e,513.64081
85e4a904-bef6-48a2-b52e-6a51e7d8f225,514.38744
b6a06878-0660-4477-bafe-3b3ce73b7026,515.13408
4c475cb1-0d91-4f23-8201-0f5a9931a566,515.88072
ddcda7a3-4af7-4f46-b82b-598296a86ed3,516.62736
b0a4670e-d107-4ba5-9a16-1238aba9681d,517.37400
94c4d6e7-552d-4360-b587-bbd74b9144c0,518.12063
4e40ef36-4ec9-4da4-b1bd-6acb2f7b8b0e,518.86727
30e33176-8bdd-4b74-9ff6-66bb768f726f,519.50129
32a6eac8-6436-4389-b5eb-e66fa18a7b5a,520.13530
1e10dd47-549e-472f-a5d4-02b3687bc2d7,520.76931
2853d1dd-4ef2-4559-b528-1cc2ae22579e,521.40333
4dc810c5-c091-4db8-9d57-1b87664323ac,522.03734
e893bf8c-aa57-4e72-9c01-b3308551c2ed,522.67135
e11b82cb-8743-4767-8229-a33caf6969af,523.30537
ff40cd10-09e6-42f4-94ad-e3ec3a743833,523.93938
c29f6e95-dbbd-4767-aafa-db592c7adeb9,524.57339
ee2f8126-c7b0-48bc-8ad0-207aeae692ea,525.20740
891a5da8-bf83-463d-a27f-cb4c5a9c1f26,525.89206
783a50d0-96e3-4601-af58-ea1e7d54f180,526.57672
f1614e27-c864-40e5-a731-594c8b0b6d6f,527.26138
09760e88-bedd-44ea-9471-9895d67cda42,527.94604
7f4af596-a893-4123-8807-649dc7937f43,528.63070
676f6fde-b7f5-4318-832d-93a93fcc1c14,529.31536
07db0193-c2c3-40be-9b81-9d796b5f870d,530.00002
2f5b9028-2311-4f49-822f-5b6ac941f962,530.68468
e3b11e18-e113-48b9-8ec6-ffc2025b5fe8,531.36934
df40d5b6-d1f3-4b07-8a81-3d35416c02a7,532.09860
cb7e5658-32ca-4dca-b9c9-2e0de0843d7a,532.82785
4e6b8abf-3150-46eb-834f-acdfa9f2d41d,533.55711
6070d01f-0feb-49fc-8c77-e91b05930387,534.28636
c92545fa-39f9-410b-a7c0-eb570d4d871a,535.01562
d761ac3a-e646-472c-90be-72c7fb6c2ec8,535.74488
c7b1cf24-95c7-4258-ae63-c9bfee1b55b8,536.47413
de285f40-3405-4620-89af-27a0e24ef7c7,537.20339
0506c870-c55b-4cfa-9ddb-de9ba94d4ab6,537.80766
5eba622a-41fa-46d7-9074-018802e802e1,538.41194
a1444446-7661-4222-a350-a45347da061a,539.01622
7bd93521-08ef-40d1-9c42-1da15046ee4e,539.62049
f76df30c-ee78-4675-9a63-fa80958d6c06,540.22477
8f95fff7-cbfb-4b43-b625-c1dc2ab9a285,540.82905
41c9689e-ec8b-4e07-a896-3a963b6cf699,541.43333
c2bbef50-b173-48ad-988e-f010d63a2573,542.03760
158994e9-095b-48fe-b2b7-12d2df29666e,542.64188
791dfef7-c0c6-4e5e-97f7-cbf01c1d7a08,543.24616
14037704-dc34-4e12-b1f5-6fd9ab2a69db,544.04391
ec48d675-daf1-4876-9ee9-fe12c3d0ba9f,544.84167
eb2ad14c-22a9-47a9-9ea0-b68b6c67d808,545.63943
