identifier,coordinate
58841992-446a-4c98-bc9b-cc2604811bc1,991.05519
66f0e2b5-efca-4488-a363-48a4e55dbcd6,990.37834
20c07468-66f7-4945-b20e-2a393940ab0e,989.70146
c9a2ba77-b19f-4043-8280-80084112842f,989.02459
709980f8-32c2-4842-a191-dc09d54fc719,988.34771
8c55b1ff-dda0-4c8d-967a-c410a68828e6,987.67083
40c30b48-0e35-454e-8be8-f382494f7147,986.99396
ac85480a-c2b6-4021-8129-211705a4ecb8,986.31708
9a36ad3f-ede9-4ee7-8735-6743dd2bf815,985.64021
7890ebc3-8550-49c6-a118-472d80bb0550,984.96333
ddd846f6-c1ac-4cca-a0b7-d7238a8aef1b,984.28645
fe9169c3-7c70-4cae-b52f-e4e8121d7c74,983.60957
f29f2f9b-7fa4-42a1-aab3-de3df0ba7738,982.93270
b891a934-63c8-4c64-981a-2a24a28e0785,982.25582
83b7f997-9afb-4f8b-a2d4-563476247f5d,981.57895
eb5078f4-32af-4ea9-8087-345be733e716,980.90207
0b21d5cd-1992-468b-b3e9-a097a87d866f,980.22519
12db1e66-524e-494f-b468-6cdddfbd3dc7,979.54832
2fa4f4b3-ab92-44ac-9575-f27caebadf67,978.87144
b8e984d6-94c2-438f-886c-4b287eced82b,978.19457
9df01447-d5f9-42c3-8440-125c3bc422da,977.51766
d91ccbbc-7f76-4b63-97b0-476f7385d241,976.81334
bd950a44-6e60-4f75-89c3-21a67941ba57,976.11095
9207fcd9-00f0-4f51-bf26-3591a132491a,975.40838
10db7c69-50a3-4f02-8775-67b3a7a2acf5,974.70615
4a6d6900-c3b9-43a8-9414-0e05ebb42d7f,973.99878
4bd67a2a-7eb8-4cfd-a429-72a0ad8180e7,973.28862
265a5365-bf14-4b40-9442-ef3550041d29,972.58430
3d080592-422b-4a00-93ee-e409774929e3,971.87764
60a9bc26-ddb2-4ace-8959-030b45bde783,971.17173
9ce9c4b2-c906-43c6-a06c-17b561e98846,970.46738
0fed495a-7333-42a6-89f3-30ebd0680275,969.76302
6c40d1d4-b327-4c61-825c-2a41a4d9e4f3,969.05866
96530e66-da6f-4435-9310-500de76232bd,968.35544
57f8cb45-2186-49a9-97ab-3bef910e703d,967.65108
58d64644-bcf4-404f-adbf-c39f6798b115,966.94672
eb4a1bee-3122-443f-bfce-2b710fa531bb,966.24677
caa7087a-a50d-422c-830e-6fcc5085b013,965.54877
7d7f36a0-3218-4941-949a-12a8a8c636de,964.84442
519bf43f-cb0c-415d-bdb4-c2f20b825408,964.14711
34f3919d-619a-42d3-b7f3-51e381b42c7e,963.36728
8518e880-597e-40c0-be0c-0010a1565c80,962.58289
6f92b73b-d484-427a-8eb3-a164692fad92,961.79365
a875b9c1-1b7c-43e1-9628-2aa9885b8aac,960.99174
68017c7c-e661-47cd-bd66-d119ef45f27e,960.19414
fdbc7ee2-be60-4ce6-855d-a6cd4e32f52d,959.40329
6129d255-d307-41c1-b64a-a0d1ae40bedc,958.61286
dad89b72-795b-4f24-b7c3-d82b6519a3a8,957.82058
cd530374-35c6-45f3-8ea3-8bdd506d0e10,957.02921
d1e5173b-7c30-4013-b534-ca274372babd,956.23784
a2454c13-8bcf-46bb-a0dd-76b5f83d35f1,955.44646
507ceb21-c313-41c8-b0bc-9fa1d9ce90b4,954.65509
80c7d679-1de5-4f2c-8d34-a899fd562411,953.86372
734ce9c4-07b4-483d-8f76-1fe3678d3448,953.12945
d75565f7-7c71-4423-aa8b-d833fe8e9745,952.39518
5e133249-72bc-4e4c-9db5-a716897de587,951.66043
c0a33355-d6f9-4c1b-be55-59c19eab59b1,950.92623
c9186330-b8fb-4be8-ba1d-6ba2466af0ac,950.19203
ae374562-5ae4-408d-aed9-1e0608757038,949.45783
86b5adc4-e4ef-4a9a-acad-454b2be3f886,948.72364
7d9a4b44-610a-440b-b872-2919f44dc322,947.98943
2eeee1c0-15bf-40bd-ba73-a8f3695ae537,947.25522
757f6a91-b1ed-4824-a6c8-925393b8ada4,946.52100
