id,label,coordinate,street_side,hidden
1,Doheny Road,0.00997,n,False
2,9201,0.76000,n,False
3,9169,2.50931,n,False
4,9165,3.00442,n,False
5,9163,3.33714,n,False
6,9161,3.67778,n,False
7,9159,3.87187,n,False
8,9157,4.14121,n,False
2137,9155,4.52000,n,False
9,Cory Avenue,4.79332,n,False
10,9151,5.52753,n,False
11,9145,6.93683,n,False
12,9131,8.56081,n,False
13,9121,9.56108,n,False
14,9119,10.47209,n,False
15,9111,11.45044,n,False
16,9109,12.02293,n,False
17,9107,12.32000,n,False
18,9105,12.91018,n,False
19,9101,13.71029,n,False
20,North Doheny Drive,14.38100,n,False
21,9059,15.23340,n,False
2138,9055,15.85500,n,False
22,9051,16.17214,n,False
23,9047,16.88907,n,False
24,9043,17.56955,n,False
25,9041,18.14785,n,False
26,9039,18.80140,n,False
27,Wetherly Drive,20.86175,n,False
28,9021,21.79903,n,False
29,9015,22.76154,n,False
30,9009,24.42117,n,False
31,8981,25.92632,n,False
32,8969,28.11276,n,False
2139,8967,28.50000,n,False
33,8961,29.56246,n,False
2140,8953,29.89000,n,False
34,8951,30.34672,n,False
35,8949,30.78242,n,False
36,8947,31.13098,n,False
37,Hilldale Avenue,31.64143,n,False
38,8929,32.91340,n,False
39,8923,33.77688,n,False
40,8919,34.13337,n,False
41,8917,34.49777,n,False
42,8915,34.81861,n,False
43,8913,35.19886,n,False
44,8911,35.48801,n,False
45,8909,36.02273,n,False
46,8901,36.91394,n,False
47,North Clark Street,37.65678,n,False
48,8873,39.34781,n,False
49,8863,40.60553,n,False
50,8859,40.92240,n,False
51,8857,41.16402,n,False
52,8855,41.33434,n,False
53,8853,41.52446,n,False
54,8851,42.09484,n,False
55,8849,42.83732,n,False
56,Larrabee Street,43.66080,n,False
57,8833,44.62983,n,False
58,8831,45.95674,n,False
59,8801,48.55145,n,False
60,Horn Avenue,50.18390,n,False
61,8795,50.76927,n,False
62,8789,51.80308,n,False
63,8775,56.81365,n,False
64,Sherbourne Drive,58.29500,n,False
2141,8749,58.71500,n,False
65,8747,58.97236,n,False
66,8743,59.63779,n,False
2142,8739,60.09283,n,False
67,8733,60.97263,n,False
68,8721,62.33123,n,False
69,8711,63.91560,n,False
70,8673,64.78304,n,False
71,8671,65.06823,n,False
72,8669,65.29004,n,False
2143,8667,65.82783,n,False
73,8663,66.20106,n,False
74,8661,66.75162,n,False
75,8657,67.29031,n,False
76,8653,67.51608,n,False
77,8649,67.97951,n,False
78,8645,68.35580,n,False
79,8641,69.19948,n,False
80,8635,69.81342,n,False
81,8631,70.48678,n,False
82,8627,71.31065,n,False
83,8625,71.91272,n,False
84,Sunset Plaza Drive,72.76316,n,False
85,8619,73.22775,n,False
86,8615,73.63968,n,False
87,8611,74.10707,n,False
88,8605,74.70913,n,False
89,8601,75.78651,n,False
90,8595,76.21546,n,False
91,8591,76.67889,n,False
92,8589,76.92051,n,False
93,8585,77.71270,n,False
94,8569,79.44758,n,False
95,Londonderry Place,80.93067,n,False
96,8555,81.99842,n,False
97,8553,82.88567,n,False
98,8547,84.18882,n,False
99,8543,85.84845,n,False
2144,8539,86.12783,n,False
100,8537,86.87829,n,False
101,8535,87.40113,n,False
102,8533,88.26857,n,False
103,8527,88.83499,n,False
104,8525,89.29445,n,False
2145,8523,89.44283,n,False
105,8521,89.76184,n,False
2148,8517,90.00000,n,False
2146,8511,90.52283,n,False
2147,8505,90.97000,n,False
106,8501,91.72647,n,False
107,Miller Drive,93.19600,n,False
108,8499,93.78615,n,False
109,8497,94.70508,n,False
110,8495,95.71908,n,False
111,8491,96.94697,n,False
112,8489,97.23612,n,False
113,8485,97.60052,n,False
114,8481,98.11941,n,False
115,8477,98.84822,n,False
116,8469,100.54746,n,False
117,8459,101.99716,n,False
118,Queens Road,103.01396,n,False
119,8439,104.99558,n,False
120,8433,107.69693,n,False
2149,8425,110.02500,n,False
121,8401,112.58472,n,False
122,North Kings Road,114.60430,n,False
2150,8383,115.85000,n,False
123,8373,117.06729,n,False
124,8371,117.77354,n,False
125,8363,119.13886,n,False
126,8351,120.81037,n,False
2151,8349,122.23500,n,False
127,8341,123.68600,n,False
128,8335,124.51780,n,False
129,8301,128.98177,n,False
130,North Sweetzer Avenue,129.68073,n,False
131,8295,130.34037,n,False
132,8293,130.69685,n,False
133,8285,132.96250,n,False
2152,8277,133.29000,n,False
134,8275,133.87748,n,False
135,8265,134.74492,n,False
136,8255,136.66201,n,False
137,Roxbury Road,140.42006,n,False
138,8225,141.40324,n,False
2136,8221,144.39304,n,False
139,Marmont Lane,145.19702,n,False
2153,8205,145.90500,n,False
140,8201,146.86500,n,False
141,8171,148.13500,n,False
142,8165,149.07556,n,False
143,8161,149.41500,n,False
144,8157,150.78668,n,False
145,Selma Avenue,152.08194,n,False
146,8117,156.28446,n,False
