identifier,coordinate
1df71818-9d96-4688-9688-78664514db92,163.32548
d67deede-bad6-469a-b6b0-4c30925d722b,162.80491
040beed7-7548-47c0-8def-99ee33803481,162.28434
b35b581e-ebbd-4c8e-9da6-942259ef4bea,161.76378
d868efce-6cff-4f4f-9bc0-6555cc424241,161.24321
3ddf47dc-11ea-4c36-93fd-2f97e51d9894,160.66916
f1a6a1fd-15c1-4cf1-b5f2-9a0cb95ba0a7,160.09512
acd17db4-7b6f-4b4a-8870-255af0d2e4e6,159.52107
1168de17-84ef-4132-b66b-c4b564156dd8,158.94703
75c67a36-7702-4269-996a-29e15c568691,158.37298
207bd74d-8d1f-402e-a383-0bee793cbbf2,157.79894
8cee519c-c6ed-4c9c-872b-e7eda34ced07,157.22489
7d1f5493-9965-433d-9b1a-4ff979310669,156.65084
6743d491-2b65-4bb6-80be-ed2fcf364f4b,156.07680
116726c6-b10f-403f-84a9-0de08e5dfe48,155.50275
24fb55df-7268-41dd-8bed-42e0bed42791,154.92871
1f43440e-bdf1-4b2f-b612-153693af3381,154.35466
a77dc2a3-d5ee-4fa3-b188-6cfd5e65f507,153.78062
acfeaabd-c435-484e-bfc6-73c4fea8aa97,153.20657
81ae7c78-0fbb-4870-95e7-de0a155e6711,152.63253
117b544a-a9c0-4e1d-b2d0-ccc110938883,152.05848
237da638-a9d0-44d8-a7c8-744f071ac6ee,151.48443
2e985d3d-02a9-4845-9ef0-342aae02c18c,150.91039
48479ceb-7175-4c60-85e2-26ad343b31fe,150.49775
3c648500-bcf7-476a-8f54-12aebdb69119,150.08511
6db013d9-3e34-4a96-9921-665551ce489b,149.67247
8456b01f-df73-47c8-87ed-4a15f66e979e,149.25983
50d3dcd2-defc-469c-9b18-30eef177767f,148.84718
aacda5e0-39ee-4c08-bf99-c044d454909a,148.43454
cf4f4b2a-6a99-47e8-b606-fe1deb5ff2ed,148.02190
b3775640-7ecf-4e87-93a3-1d9d23b96dcf,147.72251
6619b3f3-0f46-4325-bf8e-65f1e98ac412,147.42313
986cbef5-65f8-4b92-bfa7-6a8f0f95fb6f,147.12374
11995152-1aa4-4417-a69b-a7976b5f3511,146.82435
4ac05b98-4f96-45b8-92b2-ba7af3d8baa0,146.52496
0ae74ef3-f75c-4b2e-b57b-f84cf6137795,146.22557
0a110da6-e276-4424-98ae-22d4ec7f6f03,145.92618
7b10ab5c-f4d3-4652-a26d-cc8a81f6ec94,145.62679
5b6be348-7541-4de1-936a-d1b1ed1f91f2,145.32740
6b328c41-a9ea-4467-a6ad-59f54030d3d3,145.02801
f0c4c694-286b-4ee4-aa03-8640100c3e9b,144.72863
1620920b-00ee-487e-b139-fbaca4bf8e62,144.81872
8bf7539e-3724-44f0-bf6c-d8481b672c56,144.38963
31095568-6704-401e-b2a5-fde021595783,143.96054
4c42386b-e675-42d9-9e11-a5e4757ba777,143.53144
81ba6fcf-9574-4a7f-bdff-ec324fd14343,143.10235
d25c1908-e0c6-4028-b04f-e2e8cf478368,142.67326
42e28f8d-2f81-42dd-9e87-5f29ff0a8b5a,142.24417
bd1e8299-09ba-4770-8341-197304bf45c3,141.81508
92b582de-399f-4c39-ac0f-d93096cb20e5,141.38599
4c5588bc-3408-4be4-a81c-ff0fba874b2b,140.95690
82e35641-2ded-43a3-95c6-fc60fd0293ef,140.52781
23fe4b48-d14d-4060-a722-26d64e508e7b,140.09872
fd2ffd53-1830-4b42-8638-4690f323bc58,139.66962
e3429f6f-beca-4ef5-a92f-941b0fdbd0c0,139.24053
ed231d75-c0b0-4f77-ae73-fdcf83f6a132,138.81144
a84d8def-d22f-41e1-9d75-35070202420e,138.38235
f8e6adb7-3941-4b3c-8330-4549aea312ec,137.95326
8ccccfcf-509a-49f4-af6f-2467a620ce0f,137.52061
