identifier,coordinate
1cfbac84-3bba-4d3d-a185-9212de5a2b82,0.10702
d3ad57ed-e73c-44dc-9042-3de46a613585,0.16617
af96322c-0cc1-499c-8f93-304ddc332127,0.80392
6865971a-06e9-431b-bec3-0d4c12c0a417,1.44168
1d10fe47-9c56-4380-a7d2-075bcc11f29c,2.07944
65e4259b-4243-4767-b29a-1fe983b29536,2.71720
c6953964-c73f-49de-a59f-3ea7fc42b4b0,3.35496
304f2679-c4ec-4160-b6c6-95c9a3f1ad09,3.99272
2acdd81d-9e81-4a6c-90e0-18b20d753619,4.63048
b6d99747-9921-462f-9dd4-6a61abff4413,5.20663
bb685205-2170-47bb-8c7f-214863585271,5.78277
3a2007a9-2e09-44fb-beb1-5c8c40923ce1,6.35892
5ee22918-859f-4624-b113-037fdf379f08,6.93506
393bef38-7512-4ad1-9be7-824bce0a20ac,7.51121
2e9e60ee-b6ca-4be9-9248-049b1e65840f,8.08736
82b738c0-4742-405e-8a56-4ba05c2f0982,8.66350
ff147721-0be2-440b-a24b-2eac31e387e4,9.23965
9550c45c-94e1-401a-af36-fdde027f8916,9.81580
330f645d-c6e9-47e9-97dc-19ec8bd1ecef,10.39194
3fe5c98f-660d-4db3-9b5b-2407c640c95e,10.96809
7d3d7e01-f795-41c1-b8ce-d3f0d8051d33,11.54423
e04f8a70-f129-4fba-a72e-8c149e01f1a6,12.12038
b596b17a-e363-4db0-ad0d-0827da98748b,12.69653
8c0628ac-4208-4cbb-92f6-388a0f94e8bf,13.27267
423ca193-03ff-4cd8-9d7c-0b4d37b5d95b,13.84882
f0aa002f-2603-4a99-987e-c0e2a88b679d,14.42496
1f00e642-bcb1-44c7-bb8d-2f0a48e56722,15.05612
3739960f-a34c-4244-a724-321959d1f838,15.68728
d2adb186-203f-408d-a0d8-9c6c0328d39c,16.31843
01d10dad-890e-436a-a11c-4dc842507238,16.94959
7e77d930-ee9c-421b-94f9-0dec15aebd75,17.58075
3b53d9d3-c56b-402a-9970-6a1aba89689a,18.21191
10bef0ff-c9f6-46f2-8a71-675320f9da48,18.84306
839c3bcc-dcee-4909-8110-e2cd75a681a6,19.47422
1c3f478a-d250-4633-88d6-0404991b422f,20.10538
e935b530-4514-4333-919a-d5e7b4defbcf,20.73653
63833b31-a3a7-47a3-a4ca-7fca2f9fbb61,21.31157
479c23f7-10cd-4d07-8ef7-519a58154f50,21.88660
59818501-6a5b-478f-8efa-3395b10ea662,22.46164
0e1fcae1-a799-48a3-96be-cd5a7fb7f2b7,23.03667
198e95fd-7530-4724-9bf1-271da07eb5b4,23.61171
fdc449e1-487b-4459-8020-01f393ab0b01,24.18675
3b401dd0-1af4-40a6-b611-4021579aed55,24.76178
476fc567-9665-46ed-b699-140971ae76d5,25.33682
c3ea6b66-7875-480b-a4e3-6cb9f78ee6a8,25.91185
736bb75b-af7a-413a-ae9e-122aa6468ce7,26.48689
1fa0d417-48a1-4bf7-82d2-64befa9c0e0a,27.06192
e7dd60ce-c574-4c04-9ec9-bbda5c0b58ca,27.63696
ff5e412a-f3da-45fb-8084-e4b695b0fec7,28.21200
69104cff-b2dc-4620-8b58-291ed6843ef8,28.78703
58513c04-2115-499d-9c16-9d59ae94c071,29.36207
95d9ba63-fb26-40b5-bbb2-e95d7f569b4f,29.93710
4fba909b-1b50-485e-bfd2-dece7a4394d1,30.51214
5cf0a943-b3a6-48d3-a3d3-092011835b15,31.08717
afab92c9-bd9d-4f6f-8fba-21e5bcd334c9,31.66221
cce41d46-9717-479c-a512-b2a37b17a9c0,32.30729
28a33d8e-7678-45c1-9f93-5726dda4800b,32.95238
3e9f6f32-b609-4a48-b40b-bc04973a79c1,33.59746
7db3ce42-2b60-498f-b1b4-5b99c8eb0e86,34.24255
afcc7f93-85fc-4289-b41e-aa805c7efe79,34.88763
84403c84-2661-445b-8012-58a357ad4364,35.53271
abace160-246b-4cd2-9e37-2541cd6e71fb,36.17780
91d224f7-82b7-4e1e-8fe4-9877971fc02f,36.82288
4a3d43cf-0b8b-44d2-bd03-3372b88d24d2,37.46796
5d779dcb-a443-4b8c-8659-0f96c22ba04f,38.06927
109fcb63-1253-47b9-b60b-dad332e3b3b8,38.67057
bdcb1054-3292-43e2-9eaa-62b367bd63fc,39.27188
68674aff-1943-4f44-aef7-143056bae2b5,39.87319
369eef77-057b-4729-9336-25cb8e879a97,40.47449
286c7fc2-c6e7-4113-b376-99d8a3af5eea,41.07580
5c718120-bf20-442f-813d-447150828249,41.67710
b5c094c1-cd07-4697-bf93-d9878b9d04e6,42.27841
0cf80333-1abc-4c48-a851-22f054c10280,42.87971
92ae9db8-2981-45d7-9d55-51d71f2a1f82,43.48102
3dc070f6-b2d6-4b24-ae54-79e88ef53975,44.10406
1c7ed763-66c7-4bd0-8d94-08ca45e9e67c,44.72710
b6bed7c3-c687-4f9b-badc-36b797b64643,45.35014
e0368713-60f8-4fcd-b04b-894cec3962d2,45.97319
3cc945d0-4094-44a8-a2d2-55de01082bd3,46.59623
ffbac9b1-918b-471e-89f3-459451d4a102,47.21927
dd9cd795-0c9b-4d62-ab2a-d4bad0e003cb,47.84231
9d5b8b44-cf61-4c5f-909b-732024245a1e,48.46536
803a68d9-8eba-4ec6-9ccc-7fb89389dfae,49.08840
d560f9ca-a74c-45f7-a04f-c99f9eab0e49,49.71144
07d97d1a-4cdc-4128-8226-0db9ef46107c,50.34006
03c54df0-232c-4377-bde6-29d1caf64c6d,50.87904
fb0e7f7e-8b67-46e9-a159-1ef7a0f03141,51.42455
27fbbec7-290e-49ef-bba9-15b6fffdf987,51.96492
ef9fb186-274b-495e-8a23-78e1708b1fc5,52.51926
59be1290-4d30-4ede-a7ab-117b24a0a7dc,53.05837
8d9ea29f-f422-4f8e-aa68-1011205cf170,53.60061
3a669db0-e1a5-423f-a3ca-5ace8d1fbe41,54.13789
7d8cbbce-369c-4e0c-9848-513a2a2fceab,54.67533
82b1acb7-f76a-4d0c-89f4-4aa6d3021920,55.21316
bdd58dbf-033b-4840-ad7a-c4ca4763e2f2,55.76690
cac74522-2bd2-4f19-87c0-60a772c99280,56.30688
95fd5cf1-f794-40cb-b521-31e1249847fc,56.84687
cdcb5ad2-86d3-4604-8d26-081437cac530,57.40758
a88d6efe-a5d2-422e-bc7a-72535ca51663,57.94630
06a58e71-329a-4b85-9be4-0ad1cd1d6de7,58.48502
17485574-6896-4ad2-aaa5-a43d6e16eab6,59.04992
e272ef88-a4f4-4644-b2d3-10a01a37b42e,59.61030
33814622-efcf-4416-8259-3df299c91f19,60.17068
d4754768-4ae1-4bc4-b3d7-9fb0e9a54fcb,60.77021
0206c465-a36b-442e-8cf2-7b986e8cf03d,61.33095
b240f041-6433-475c-9123-4811b15c8aa7,61.89168
d6d49998-d073-4a54-b4f8-d14ffe48c6d4,62.43729
3a34a2cf-62a6-45bd-96f5-cc3bc3272d8e,62.99878
b8081092-22c1-4184-8156-7fa6803b741b,63.56028
3814e40f-129f-4ab8-9cf8-9a7cdac62cd7,64.11113
b7da9aaf-72f5-4187-8db5-31bd1bca06ac,64.67236
63d7cf34-7cf2-4e42-bf91-da75a98d5433,65.23351
8d635e74-e2db-4f6d-8a8c-1927624a2b39,65.79437
c03eb207-d69a-4c86-91d5-3bc340e64246,66.35523
30e4ed16-3c27-4749-ab12-ff6da3f3ac09,66.91609
798cbc37-5f94-4526-a5b3-f48d46e32ce4,67.46145
b62adae1-a5fe-4738-9af2-c276a770082a,68.02287
0959e642-3f41-4339-ab5b-82771153c1e7,68.58428
5526175a-a84b-41de-8e91-72eb3bde6932,69.14569
351a4294-7a07-4048-ad3d-493a97c96716,69.70711
12c6a630-a4cf-46cc-bedd-c47567232a57,70.26855
619effab-b799-4e7f-8520-6338a49dc947,70.82999
5a744160-dabc-4ef2-9d9d-414b2512b845,71.39143
3f170587-bbd8-44a4-ad9f-b19fda9cf5ef,71.95287
10a082cd-6e28-4c81-b867-b13ef6280def,72.51359
f226a02d-9a3f-46e3-a59a-97253ec86c4b,73.02948
3734adba-76ce-4361-aad0-066a99f4e458,73.55405
09966a7c-782f-4237-8fc4-9039bfa855b7,74.07864
858d2a48-b8fe-498b-897f-a0ec53308662,74.60323
2142d89e-ea3f-4bee-aa61-f78a532cba14,75.12782
cdb565c6-69f2-46be-adf1-45df2c00075d,75.65165
bae79989-ab9a-4ea4-9d17-b2f7bcecdec0,76.17341
f89c7593-2b58-4ab3-ab9d-c006d63a76ae,76.72139
12407abf-4fe8-4700-86fd-898e0a4a9d88,77.22571
d2fd2501-c44a-4fc5-b581-2c469c391b64,77.74961
13bcbc34-193a-4ff7-9bf2-9c3fa3bb17ff,78.27421
a35c8b3b-74be-4ae3-a6ba-932d95616b68,78.79881
1ebe92c9-d12e-4132-bd09-003bd3f50607,79.32342
f0126b7a-3d1a-49b8-8f32-0d86d04cfea0,79.84802
c8d23240-2982-4a70-8911-019490377443,80.37262
30a8a616-c7f6-4778-9ef9-e49de505fa80,80.89722
55a2480d-23db-41ed-8e45-9eec1e66dbb6,81.49690
0ce1a234-ae89-4296-a5aa-d6f6bff75f84,82.09658
86f918e9-84d5-424b-b10e-f64f314f2f73,82.69626
ebdc06e6-ac21-4e5c-8cb8-888cd7256b14,83.29594
43adbd8d-b6f6-4bf1-8c5e-780a9fe6c521,83.89562
93c0b42e-f835-4b69-970c-0e5feac141e9,84.49531
298f0191-a2c2-4040-8fd4-28b6b34752d7,85.09499
47a0cdd2-c5e5-4548-b04e-89e793fade9a,85.69467
ff80c79c-5074-46f7-bcd8-823949711b5c,86.29435
a24bf8e3-d41b-44e4-8f35-25f5d2d1d4f6,86.89403
9a0338f6-8ab7-4355-aee6-9befae9a822e,87.49371
12e13767-ebdb-4cfe-ad7b-4965cb127310,88.09339
6427b27b-855a-495e-9279-b7d0b108a0d9,88.69307
2480837b-dbb2-4217-a11e-254eb8d25819,89.29276
84605b93-9806-4abd-a947-190d7be24490,89.89244
c123f534-a5bc-4f01-868d-9caa0859d444,90.49212
c0d893c1-f7db-48c8-90d8-fb5789892605,91.09180
184eaf6d-f238-4478-9ad6-2cf2df74dbdc,91.69148
e593903c-32b8-4fd9-9b83-8335bf68b9cb,92.29116
34240f59-41ea-4f3f-a978-5d0e0922c338,92.89084
572791ae-5a27-45dd-8d13-c458f36c5343,93.49052
d0ce822c-d0e7-4be3-b18b-5fb3a90e5bf1,94.05709
e86b764d-3c77-49a5-87ee-11b743e797ee,94.62366
1d0a1ab5-e3ef-4fc1-aac7-25609b916ee1,95.19023
c03c19fc-d872-4a2c-aafe-8b63ebbb5186,95.75680
d18338ee-49eb-4349-a5c8-678d0f8d8986,96.32337
b7830e64-89e2-4146-8b10-0fcc5c1072bb,96.88994
