label,coordinate
Doheny Road,0.00997
9201,0.76000
9169,2.50931
9165,3.00442
9163,3.33714
9161,3.67778
9159,3.87187
9157,4.14121
9155,4.52000
Cory Avenue,4.79332
9151,5.52753
9145,6.93683
9131,8.56081
9121,9.56108
9119,10.47209
9111,11.45044
9109,12.02293
9107,12.32000
9105,12.91018
9101,13.71029
North Doheny Drive,14.38100
9059,15.23340
9055,15.85500
9051,16.17214
9047,16.88907
9043,17.56955
9041,18.14785
9039,18.80140
Wetherly Drive,20.86175
9021,21.79903
9015,22.76154
9009,24.42117
8981,25.92632
8969,28.11276
8967,28.50000
8961,29.56246
8953,29.89000
8951,30.34672
8949,30.78242
8947,31.13098
Hilldale Avenue,31.64143
8929,32.91340
8923,33.77688
8919,34.13337
8917,34.49777
8915,34.81861
8913,35.19886
8911,35.48801
8909,36.02273
8901,36.91394
North Clark Street,37.65678
8873,39.34781
8863,40.60553
8859,40.92240
8857,41.16402
8855,41.33434
8853,41.52446
8851,42.09484
8849,42.83732
Larrabee Street,43.66080
8833,44.62983
8831,45.95674
8801,48.55145
Horn Avenue,50.18390
8795,50.76927
8789,51.80308
8775,56.81365
Sherbourne Drive,58.29500
8749,58.71500
8747,58.97236
8743,59.63779
8739,60.09283
8733,60.97263
8721,62.33123
8711,63.91560
8673,64.78304
8671,65.06823
8669,65.29004
8667,65.82783
8663,66.20106
8661,66.75162
8657,67.29031
8653,67.51608
8649,67.97951
8645,68.35580
8641,69.19948
8635,69.81342
8631,70.48678
8627,71.31065
8625,71.91272
Sunset Plaza Drive,72.76316
8619,73.22775
8615,73.63968
8611,74.10707
8605,74.70913
8601,75.78651
8595,76.21546
8591,76.67889
8589,76.92051
8585,77.71270
8569,79.44758
Londonderry Place,80.93067
8555,81.99842
8553,82.88567
8547,84.18882
8543,85.84845
8539,86.12783
8537,86.87829
8535,87.40113
8533,88.26857
8527,88.83499
8525,89.29445
8523,89.44283
8521,89.76184
8517,90.00000
8511,90.52283
8505,90.97000
8501,91.72647
Miller Drive,93.19600
8499,93.78615
8497,94.70508
8495,95.71908
8491,96.94697
8489,97.23612
8485,97.60052
8481,98.11941
8477,98.84822
8469,100.54746
8459,101.99716
Queens Road,103.01396
8439,104.99558
8433,107.69693
8425,110.02500
8401,112.58472
North Kings Road,114.60430
8383,115.85000
8373,117.06729
8371,117.77354
8363,119.13886
8351,120.81037
8349,122.23500
8341,123.68600
8335,124.51780
8301,128.98177
North Sweetzer Avenue,129.68073
8295,130.34037
8293,130.69685
8285,132.96250
8277,133.29000
8275,133.87748
8265,134.74492
8255,136.66201
Roxbury Road,140.42006
8225,141.40324
8221,144.39304
Marmont Lane,145.19702
8205,145.90500
8201,146.86500
8171,148.13500
8165,149.07556
8161,149.41500
8157,150.78668
Selma Avenue,152.08194
8117,156.28446
Crescent Heights Boulevard,157.87342
8101,159.64332
Laurel Canyon Boulevard,161.44500
8033,162.17436
8031,162.41201
8029,162.76454
8027,162.77642
8025,162.91901
8023,163.31907
8021,163.41000
8017,163.41017
8005,163.72308
8001,164.18767
North Laurel Avenue,165.04648
7979,167.40278
7955,170.69432
North Hayworth Avenue,172.97354
7919,174.73843
7901,178.30722
North Fairfax Avenue,180.68232
7865,183.50000
7855,184.57738
7851,185.93994
North Orange Grove Avenue,186.97175
7833,188.36402
7813,190.42767
7811,190.67000
7809,190.79000
7807,191.25946
7805,191.59218
7803,191.86945
7801,192.22989
North Ogden Drive,193.00056
7799,193.77000
7785,194.20640
7777,194.32000
7775,194.63418
7773,195.05404
7771,195.85810
7755,196.88398
North Genesee Avenue,199.21890
7715,200.89641
7707,203.72055
North Spaulding Avenue,205.12978
7677,206.37833
7655,209.28169
North Stanley Avenue,210.68572
7651,211.83493
7623,212.47263
7621,212.68256
7617,213.20145
7615,213.90253
7601,214.83335
North Curson Avenue,216.90419
7575,218.10112
