label,coordinate
Lyman Place,586.13075
4546,585.05038
4572,581.26676
4650,576.77348
Vermont Avenue,567.89764
4700,565.72511
New Hampshire Avenue,561.85465
4760,558.80537
L Ron Hubbard Way,555.88156
4810,552.90754
4850,550.57523
Catalina Street,549.73407
4860,546.98199
Edgemont Street,543.65612
4900,543.12405
4904,542.66062
4908,542.09025
4918,539.73745
4924,538.77099
Kenmore Avenue,537.64824
4950,535.51485
4952,533.77363
North Alexandria Avenue,531.60511
5000,530.26687
5008,529.55761
5010,528.45172
5020,527.48526
5024,526.81690
5026,526.06249
North Mariposa Avenue,525.45756
5050,524.49183
5056,523.56102
5060,522.81928
5066,521.77860
5076,521.03940
5070,520.01177
Normandie Avenue,519.44975
5108,518.45538
5110,516.86704
5124,513.65473
5138,512.18126
5140,511.19895
5154,509.19868
5170,505.73341
Kingsley Drive,504.74429
5200,503.50683
5208,502.21160
5214,500.81736
5216,500.60810
5220,500.38629
5222,500.06942
5224,498.91215
5230,497.87335
5270,494.69589
5278,492.92322
5280,491.50655
Hobart Boulevard,490.98186
5300,489.78617
5302,489.25144
5308,488.64938
5314,487.61954
5316,486.86988
5322,486.12127
5324,485.90104
5330,484.70091
5326,485.00428
5334,484.27255
5336,483.86829
Serrano Avenue,482.94797
5420,478.88173
5422,474.84158
5450,472.38184
Western Avenue,471.10667
5510,466.57552
5520,463.82453
5526,463.56357
North Saint Andrew's Place,461.43085
5600,460.65789
5612,458.24358
5624,456.05160
5678,452.67266
North Wilton Place,446.82995
5700,445.86647
Hollywood Freeway,442.04488
5746,437.52210
Van Ness Avenue,434.77920
5800,427.75631
5858,423.91500
Bronson Avenue,422.65827
5900,421.82097
5902,421.35848
5904,421.01388
5906,420.51876
5908,419.98008
5910,419.55928
5920,417.95367
Tamarind Avenue,416.54532
5936,415.93597
5938,415.68643
5940,415.37352
5942,415.07645
5946,414.55915
5960,412.30300
Gordon Street,410.71197
6000,409.34404
6048,406.38919
6050,403.51383
6054,402.76890
6060,402.12327
6080,400.36793
Gower Street,398.48661
6100,397.37980
6102,396.71437
6106,394.75292
6108,394.13660
6110,393.54246
6112,393.11864
6114,392.39933
6122,391.74736
6124,390.95914
El Centro Avenue,390.48712
6206,389.81666
6210,387.05589
6230,384.91303
6254,381.12019
6260,380.75009
6262,380.07674
6266,379.42714
6268,378.86959
6270,378.18737
6290,375.72367
Vine Street,374.27960
6300,372.75864
6320,370.35436
6326,369.02747
Morningside Court,368.37648
6360,366.50829
6372,363.01475
Ivar Avenue,362.47325
6400,361.72349
6404,361.13378
6410,360.19504
6414,359.28121
North Cahuenga Boulevard,358.56117
6424,357.15305
6430,356.28165
6432,355.85387
6434,355.14916
Cole Place,354.15995
6450,352.62095
North Wilcox Avenue,350.07310
6464,348.52139
North Hudson Avenue,347.10400
6500,345.98957
6516,343.41971
6520,342.60376
6526,341.77593
6528,341.48000
6530,341.17104
6532,340.98488
6536,340.65815
6538,340.35905
6540,340.02044
6548,339.51741
6550,338.62224
Seward Street,337.95264
6600,337.47277
6602,336.96974
6606,336.41125
6612,336.04922
6616,335.07879
6624,333.30226
6630,332.17419
6634,331.39512
6640,330.52768
6650,328.09646
6658,326.90694
North Cherokee Avenue,326.35593
6660,324.28164
6690,320.48989
North Las Palmas Avenue,319.19534
6700,317.92083
6722,314.86854
6726,314.34174
6730,313.74557
6734,313.14554
6738,312.57313
6740,311.95726
North McCadden Place,311.33598
6750,309.65913
North Highland Avenue,307.66841
6800,305.50807
6818,304.50868
6820,303.67451
6826,302.55797
6830,301.42594
6836,300.73515
6838,300.11329
6842,299.29575
6846,298.96734
6848,298.21476
North Mansfield Avenue,297.60861
6920,294.91417
North Orange Drive,291.70555
7006,290.67994
7014,288.76364
7022,287.37573
7038,284.37369
7040,282.70376
7060,281.51197
7064,280.61318
7070,278.58167
North La Brea Avenue,277.43444
7100,275.42436
7120,273.67408
7124,272.72979
7128,272.23740
North Detroit Street,271.47688
7140,270.09894
7144,269.36572
7146,269.02905
7148,268.51809
7152,267.75125
7158,267.51201
7160,266.54079
North Formosa Avenue,265.63698
7176,264.67836
7180,263.89014
7188,262.80643
North Alta Vista Boulevard,260.90837
7212,258.82411
7222,256.00076
7224,255.64823
7226,255.16896
7228,254.68177
North Poinsettia Place,253.98081
7256,253.35010
7260,252.72031
7266,252.32977
7270,251.94952
7272,251.47341
7274,251.02979
7276,250.74064
7280,250.45149
7282,250.02767
7288,249.23945
7290,248.30625
North Fuller Avenue,247.23848
7300,245.48053
7320,244.53168
7318,242.52646
North Martel Avenue,241.11475
7350,240.03425
7360,238.82775
7370,237.58560
North Vista Street,235.13294
7402,234.30041
7404,233.70389
7406,233.16520
7408,232.55918
7414,231.99831
7416,231.58242
7420,231.17048
7422,230.76646
7424,230.30462
7426,229.67483
North Gardner Street,229.00946
7500,227.47731
7508,226.89109
7510,226.40152
7512,226.15990
7514,225.84303
7516,225.42713
7518,225.20294
7520,225.00743
7522,224.79893
7524,224.29589
7528,223.65343
North Sierra Bonita Avenue,223.00441
7550,222.20135
7554,221.59691
7556,221.37510
7558,221.03446
7560,220.76274
7562,220.44983
7564,220.07684
7566,219.88896
7570,219.58397
7574,219.00171
7578,218.46302
7580,217.94414
North Curson Avenue,216.90419
7600,215.60831
7610,214.70252
7630,211.45297
North Stanley Avenue,210.68572
7650,209.78304
7652,209.60084
7656,208.60823
7660,206.30218
North Spaulding Avenue,205.12978
7700,203.87597
7720,201.05949
North Genesee Avenue,199.21891
7750,198.02406
7758,194.74577
North Ogden Drive,193.00056
7800,192.21553
7840,188.75843
North Orange Grove Avenue,186.97175
7850,185.70138
7860,184.51469
7862,183.93639
7880,181.79828
North Fairfax Avenue,180.68232
7900,179.37895
7910,178.27939
7914,177.40007
7916,176.90891
7918,176.53817
7920,174.06972
North Hayworth Avenue,172.97354
7950,170.57063
7966,169.27699
7970,167.90413
7980,166.56851
7982,166.06151
7994,165.60363
North Laurel Avenue,165.04648
8000,164.33137
8004,163.93924
8006,163.59860
8008,163.29757
8010,162.85395
8012,162.36675
8024,161.38603
8100,160.55186
8102,159.89434
8106,159.23841
8108,158.67596
North Crescent Heights Boulevard,157.87218
8116,156.39922
8118,155.96748
8150,150.62973
Havenhurst Drive,147.90361
8200,147.23442
8210,145.64529
8212,144.54415
8218,143.77653
8220,143.14674
8222,142.76649
8226,142.03926
8228,141.15597
8240,139.56289
North Harper Avenue,138.12504
8250,136.44643
8260,135.40787
8262,135.12665
8264,134.64737
8272,133.48049
8278,132.83248
8280,132.30963
8282,132.07990
North Sweetzer Avenue,129.68073
8300,125.94363
8358,117.69222
8400,114.81738
8420,112.37031
8418,113.20648
8422,110.82951
8426,110.24092
8430,109.02808
Olive Drive,107.41739
8440,105.38878
8462,102.09012
8474,99.69692
8480,97.14688
8490,95.33039
North La Cienega Boulevard,93.52745
8500,92.75024
8506,91.94222
8512,91.46690
8516,90.92822
8524,89.29552
8532,87.98366
8544,86.37711
Alta Loma Road,83.84664
8560,82.21980
8570,80.44760
8590,76.68867
8600,75.41326
Sunset Plaza Drive,72.76316
8618,71.99180
8620,71.41905
8624,70.70371
8632,70.09307
8634,69.80788
8640,69.56626
8644,68.74239
8660,66.64455
8700,66.22944
8704,65.44914
8710,64.40742
8720,63.56374
8730,62.48557
8746,60.38945
8752,59.45229
8760,57.32730
8768,55.94132
8776,54.47340
8782,53.38019
8784,51.89167
8788,51.30149
Holloway Drive,50.18997
8800,49.75198
8810,49.34400
8816,48.34915
8814,48.65018
8820,47.93153
8826,47.21619
8828,47.00626
8840,45.98592
8844,44.65267
Larrabee Street,43.66080
8850,42.99621
8852,42.18818
8860,41.43719
8866,40.46201
8868,40.06988
8870,39.72132
8872,39.43309
8876,39.21524
8878,38.62018
North San Vicente Boulveard,37.65678
8906,35.85624
8912,34.47002
8920,33.14600
Hilldale Avenue,31.64143
8960,30.72050
8964,29.83484
8966,29.16544
8970,27.31331
Hammond Street,25.99859
9000,24.24206
9016,22.48890
9022,21.46460
9026,20.42446
9030,19.75110
9034,19.40412
9040,17.69221
9056,15.35677
North Doheny Drive,14.21788
9100,13.01831
9110,11.21213
9120,10.23299
9122,9.76164
9124,9.48833
9126,9.03283
9128,8.73972
9130,8.46166
9134,7.79226
Carol Drive,6.98771
9158,4.14821
9160,3.64913
9162,3.18966
9170,2.87279
9172,2.64305
9176,0.89550
Cory Avenue,0.00997
3818,651.81196
3822,651.06696
3814,652.36500
3820,651.37696
3816,652.05000
3812,652.89980
3824,650.79688
3112,698.42000
3114,698.38000
3116,698.14000
3440,675.62352
1522,820.59908
3400,681.28559
3404,680.63480
1398,845.03241
1392,846.28609
2904,709.89780
2900,710.09531
1532,818.04870
8650,67.87500
1546,816.07261
1472,830.30426
1130,891.31631
1714,801.64283
1416,840.22283
1422,838.80480
3040,702.70348
1100,895.32479
3612,665.31513
1542,816.57870
2200,759.74242
2508,739.61130
1554,815.20761
3728,656.46000
3746,656.65217
3744,657.38717
3748,656.01000
3730,655.96500
3318,685.21065
4480,593.48130
4470,595.75630
4326,620.23283
1078,898.36319
4114,633.77891
2134,767.71172
3140,695.38119
1402,842.90783
1400,843.26283
2624,732.72322
2202,758.91793
3534,669.08217
1806,797.49935
3430,676.71314
3316,685.33809
1600,810.49239
3510,672.36497
2222,755.65587
1412,840.77236
4330,619.84196
1438,835.94011
1608,809.22239
3120,697.18484
1536,817.40370
1064,900.30261
2838,715.20805
2002,783.33677
3128,696.46677
3028,704.29478
1446,834.40629
1432,837.16260
4312,622.44696
1484,827.72495
1722,800.31855
1386,847.07500
1528,819.04109
1700,804.23739
1918,787.32566
1634,805.60739
3516,671.56553
1614,808.38739
1612,808.67739
4582,580.39806
2512,738.60625
3100,700.11035
2022,779.57005
1068,899.33370
3206,693.17231
4334,618.81696
3322,684.48565
1540,816.69870
1572,812.05107
3032,703.39978
1218,876.02174
4300,623.38413
1466,831.17811
4212,629.83930
2206,757.71811
2148,764.90270
2100,774.11457
2852,713.44370
2170,761.77374
1348,853.49852
4562,583.78911
3200,693.66857
1452,833.88199
2854,712.74370
3920,645.35085
1606,809.52739
1054,901.31071
1280,865.80304
4598,580.51507
1828,793.57307
4314,621.98283
2204,758.13205
1900,789.54935
1462,831.79114
924,912.82796
3408,679.67244
3722,657.82000
3720,658.13500
3922,645.06304
1538,816.98870
4586,580.89746
1236,872.65061
1822,795.60935
2920,707.83106
4588,580.62002
1706,803.35283
1212,877.24087
2166,762.52957
2040,777.11913
2450,742.53850
1436,836.26682
4596,581.45482
4002,641.71930
4546,585.08575
1260,868.35761
2162,762.84957
1708,803.02783
4582,580.39806
2164,762.76457
4420,605.65941
3214,691.70656
1530,818.66109
2500,740.94630
4220,628.57536
4376,609.88131
3424,677.96652
1340,854.53110
3912,646.94565
3500,673.86224
1624,806.75739
1374,848.77261
2510,738.94630
1240,872.32332
4354,616.07506
1070,899.17676
1346,853.67222
1454,833.31331
2104,773.31957
1618,807.87739
1474,829.74475
1442,835.33140
3536,668.85717
4310,622.84196
